,Province_State,Date,Confirmed,Deaths
4120,Missouri,2020-01-24,0,0
7386,Virgin Islands,2020-01-24,0,0
2558,Indiana,2020-01-24,0,0
286,American Samoa,2020-01-24,0,0
712,California,2020-01-24,0,0
3126,Louisiana,2020-01-24,0,0
5966,Oregon,2020-01-24,0,0
4262,Montana,2020-01-24,0,0
996,Connecticut,2020-01-24,0,0
6108,Pennsylvania,2020-01-24,0,0
6960,Texas,2020-01-24,0,0
8096,Wyoming,2020-01-24,0,0
7528,Virginia,2020-01-24,0,0
2984,Kentucky,2020-01-24,0,0
3836,Minnesota,2020-01-24,0,0
4688,New Hampshire,2020-01-24,0,0
428,Arizona,2020-01-24,0,0
2842,Kansas,2020-01-24,0,0
7954,Wisconsin,2020-01-24,0,0
1848,Grand Princess,2020-01-24,0,0
2,Alabama,2020-01-24,0,0
854,Colorado,2020-01-24,0,0
6392,Rhode Island,2020-01-24,0,0
3410,Maryland,2020-01-24,0,0
5682,Ohio,2020-01-24,0,0
3268,Maine,2020-01-24,0,0
4404,Nebraska,2020-01-24,0,0
5398,North Dakota,2020-01-24,0,0
1138,Delaware,2020-01-24,0,0
6250,Puerto Rico,2020-01-24,0,0
2700,Iowa,2020-01-24,0,0
7812,West Virginia,2020-01-24,0,0
1565,Florida,2020-01-25,0,0
713,California,2020-01-25,0,0
7103,Utah,2020-01-25,0,0
4973,New Mexico,2020-01-25,0,0
5541,Northern Mariana Islands,2020-01-25,0,0
1423,District of Columbia,2020-01-25,0,0
3695,Michigan,2020-01-25,0,0
7245,Vermont,2020-01-25,0,0
1281,Diamond Princess,2020-01-25,0,0
5257,North Carolina,2020-01-25,0,0
7387,Virgin Islands,2020-01-25,0,0
4121,Missouri,2020-01-25,0,0
1139,Delaware,2020-01-25,0,0
4689,New Hampshire,2020-01-25,0,0
7529,Virginia,2020-01-25,0,0
997,Connecticut,2020-01-25,0,0
3837,Minnesota,2020-01-25,0,0
7671,Washington,2020-01-25,1,0
5967,Oregon,2020-01-25,0,0
855,Colorado,2020-01-25,0,0
3979,Mississippi,2020-01-25,0,0
1707,Georgia,2020-01-25,0,0
5115,New York,2020-01-25,0,0
429,Arizona,2020-01-25,0,0
145,Alaska,2020-01-25,0,0
3411,Maryland,2020-01-25,0,0
2559,Indiana,2020-01-25,0,0
5399,North Dakota,2020-01-25,0,0
6393,Rhode Island,2020-01-25,0,0
4405,Nebraska,2020-01-25,0,0
2701,Iowa,2020-01-25,0,0
6251,Puerto Rico,2020-01-25,0,0
3269,Maine,2020-01-25,0,0
2843,Kansas,2020-01-25,0,0
7955,Wisconsin,2020-01-25,0,0
2985,Kentucky,2020-01-25,0,0
287,American Samoa,2020-01-25,0,0
6109,Pennsylvania,2020-01-25,0,0
4263,Montana,2020-01-25,0,0
3127,Louisiana,2020-01-25,0,0
2417,Illinois,2020-01-25,1,0
5825,Oklahoma,2020-01-25,0,0
3,Alabama,2020-01-25,0,0
5683,Ohio,2020-01-25,0,0
4547,Nevada,2020-01-25,0,0
6535,South Carolina,2020-01-25,0,0
1991,Guam,2020-01-25,0,0
7813,West Virginia,2020-01-25,0,0
6819,Tennessee,2020-01-25,0,0
8097,Wyoming,2020-01-25,0,0
6961,Texas,2020-01-25,0,0
2133,Hawaii,2020-01-25,0,0
571,Arkansas,2020-01-25,0,0
4831,New Jersey,2020-01-25,0,0
6677,South Dakota,2020-01-25,0,0
2275,Idaho,2020-01-25,0,0
3553,Massachusetts,2020-01-25,0,0
1849,Grand Princess,2020-01-25,0,0
288,American Samoa,2020-01-26,0,0
4832,New Jersey,2020-01-26,0,0
3838,Minnesota,2020-01-26,0,0
5400,North Dakota,2020-01-26,0,0
3980,Mississippi,2020-01-26,0,0
714,California,2020-01-26,2,0
7672,Washington,2020-01-26,1,0
7814,West Virginia,2020-01-26,0,0
430,Arizona,2020-01-26,1,0
7956,Wisconsin,2020-01-26,0,0
572,Arkansas,2020-01-26,0,0
5968,Oregon,2020-01-26,0,0
4690,New Hampshire,2020-01-26,0,0
6678,South Dakota,2020-01-26,0,0
2276,Idaho,2020-01-26,0,0
6536,South Carolina,2020-01-26,0,0
5826,Oklahoma,2020-01-26,0,0
5116,New York,2020-01-26,0,0
3412,Maryland,2020-01-26,0,0
4406,Nebraska,2020-01-26,0,0
2560,Indiana,2020-01-26,0,0
6394,Rhode Island,2020-01-26,0,0
2702,Iowa,2020-01-26,0,0
6252,Puerto Rico,2020-01-26,0,0
3270,Maine,2020-01-26,0,0
2844,Kansas,2020-01-26,0,0
4264,Montana,2020-01-26,0,0
2986,Kentucky,2020-01-26,0,0
6110,Pennsylvania,2020-01-26,0,0
3128,Louisiana,2020-01-26,0,0
3554,Massachusetts,2020-01-26,0,0
5684,Ohio,2020-01-26,0,0
6820,Tennessee,2020-01-26,0,0
1992,Guam,2020-01-26,0,0
998,Connecticut,2020-01-26,0,0
7530,Virginia,2020-01-26,0,0
1140,Delaware,2020-01-26,0,0
7388,Virgin Islands,2020-01-26,0,0
4122,Missouri,2020-01-26,0,0
1282,Diamond Princess,2020-01-26,0,0
7246,Vermont,2020-01-26,0,0
5542,Northern Mariana Islands,2020-01-26,0,0
856,Colorado,2020-01-26,0,0
3696,Michigan,2020-01-26,0,0
1566,Florida,2020-01-26,0,0
7104,Utah,2020-01-26,0,0
5258,North Carolina,2020-01-26,0,0
4974,New Mexico,2020-01-26,0,0
1708,Georgia,2020-01-26,0,0
6962,Texas,2020-01-26,0,0
4548,Nevada,2020-01-26,0,0
1850,Grand Princess,2020-01-26,0,0
1424,District of Columbia,2020-01-26,0,0
2134,Hawaii,2020-01-26,0,0
2418,Illinois,2020-01-26,1,0
8098,Wyoming,2020-01-26,0,0
146,Alaska,2020-01-26,0,0
4,Alabama,2020-01-26,0,0
2561,Indiana,2020-01-27,0,0
2419,Illinois,2020-01-27,1,0
7957,Wisconsin,2020-01-27,0,0
147,Alaska,2020-01-27,0,0
6395,Rhode Island,2020-01-27,0,0
2703,Iowa,2020-01-27,0,0
6253,Puerto Rico,2020-01-27,0,0
2845,Kansas,2020-01-27,0,0
2987,Kentucky,2020-01-27,0,0
3129,Louisiana,2020-01-27,0,0
6537,South Carolina,2020-01-27,0,0
5969,Oregon,2020-01-27,0,0
3271,Maine,2020-01-27,0,0
3413,Maryland,2020-01-27,0,0
5827,Oklahoma,2020-01-27,0,0
3555,Massachusetts,2020-01-27,0,0
5685,Ohio,2020-01-27,0,0
3697,Michigan,2020-01-27,0,0
5543,Northern Mariana Islands,2020-01-27,0,0
6111,Pennsylvania,2020-01-27,0,0
2277,Idaho,2020-01-27,0,0
431,Arizona,2020-01-27,1,0
3839,Minnesota,2020-01-27,0,0
7815,West Virginia,2020-01-27,0,0
715,California,2020-01-27,2,0
7673,Washington,2020-01-27,1,0
8099,Wyoming,2020-01-27,0,0
857,Colorado,2020-01-27,0,0
7531,Virginia,2020-01-27,0,0
999,Connecticut,2020-01-27,0,0
1141,Delaware,2020-01-27,0,0
7389,Virgin Islands,2020-01-27,0,0
6679,South Dakota,2020-01-27,0,0
1283,Diamond Princess,2020-01-27,0,0
1425,District of Columbia,2020-01-27,0,0
1567,Florida,2020-01-27,0,0
7105,Utah,2020-01-27,0,0
1709,Georgia,2020-01-27,0,0
6963,Texas,2020-01-27,0,0
1851,Grand Princess,2020-01-27,0,0
1993,Guam,2020-01-27,0,0
6821,Tennessee,2020-01-27,0,0
2135,Hawaii,2020-01-27,0,0
7247,Vermont,2020-01-27,0,0
3981,Mississippi,2020-01-27,0,0
573,Arkansas,2020-01-27,0,0
4265,Montana,2020-01-27,0,0
4549,Nevada,2020-01-27,0,0
4975,New Mexico,2020-01-27,0,0
4123,Missouri,2020-01-27,0,0
4691,New Hampshire,2020-01-27,0,0
5117,New York,2020-01-27,0,0
4407,Nebraska,2020-01-27,0,0
5,Alabama,2020-01-27,0,0
5401,North Dakota,2020-01-27,0,0
5259,North Carolina,2020-01-27,0,0
289,American Samoa,2020-01-27,0,0
4833,New Jersey,2020-01-27,0,0
2562,Indiana,2020-01-28,0,0
4550,Nevada,2020-01-28,0,0
6254,Puerto Rico,2020-01-28,0,0
2136,Hawaii,2020-01-28,0,0
432,Arizona,2020-01-28,1,0
2704,Iowa,2020-01-28,0,0
6396,Rhode Island,2020-01-28,0,0
6680,South Dakota,2020-01-28,0,0
6538,South Carolina,2020-01-28,0,0
2420,Illinois,2020-01-28,1,0
6822,Tennessee,2020-01-28,0,0
148,Alaska,2020-01-28,0,0
7958,Wisconsin,2020-01-28,0,0
4408,Nebraska,2020-01-28,0,0
574,Arkansas,2020-01-28,0,0
2278,Idaho,2020-01-28,0,0
1994,Guam,2020-01-28,0,0
3982,Mississippi,2020-01-28,0,0
6964,Texas,2020-01-28,0,0
7816,West Virginia,2020-01-28,0,0
4834,New Jersey,2020-01-28,0,0
716,California,2020-01-28,2,0
7674,Washington,2020-01-28,1,0
290,American Samoa,2020-01-28,0,0
858,Colorado,2020-01-28,0,0
7532,Virginia,2020-01-28,0,0
6,Alabama,2020-01-28,0,0
8100,Wyoming,2020-01-28,0,0
