,Date,Country/Region,Lat,Long,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
65,2020-01-22,China,30.0572,107.874,6,0,0.0,6.0,0,0,0
66,2020-01-22,China,30.6171,102.7103,5,0,0.0,5.0,0,0,0
67,2020-01-22,China,30.9756,112.2707,444,17,28.0,399.0,0,0,0
68,2020-01-22,China,31.202,121.4491,9,0,0.0,9.0,0,0,0
69,2020-01-22,China,31.6927,88.0924,0,0,0.0,0.0,0,0,0
70,2020-01-22,China,31.8257,117.2264,1,0,0.0,1.0,0,0,0
71,2020-01-22,China,32.9711,119.455,1,0,0.0,1.0,0,0,0
72,2020-01-22,China,33.882,113.614,5,0,0.0,5.0,0,0,0
73,2020-01-22,China,35.1917,108.8701,0,0,0.0,0.0,0,0,0
74,2020-01-22,China,35.7452,95.9956,0,0,0.0,0.0,0,0,0
75,2020-01-22,China,36.3427,118.1498,2,0,0.0,2.0,0,0,0
76,2020-01-22,China,37.2692,106.1655,1,0,0.0,1.0,0,0,0
77,2020-01-22,China,37.5777,112.2922,1,0,0.0,1.0,0,0,0
78,2020-01-22,China,37.8099,101.0583,0,0,0.0,0.0,0,0,0
79,2020-01-22,China,39.3054,117.323,4,0,0.0,4.0,0,0,0
80,2020-01-22,China,39.549,116.1306,1,0,0.0,1.0,0,0,0
81,2020-01-22,China,40.1824,116.4142,14,0,0.0,14.0,0,0,0
82,2020-01-22,China,41.1129,85.2401,0,0,0.0,0.0,0,0,0
83,2020-01-22,China,41.2956,122.6085,2,0,0.0,2.0,0,0,0
84,2020-01-22,China,43.6661,126.1923,0,0,0.0,0.0,0,0,0
85,2020-01-22,China,44.0935,113.9448,0,0,0.0,0.0,0,0,0
86,2020-01-22,China,47.862,127.7615,0,0,0.0,0.0,0,0,0
87,2020-01-22,Colombia,4.5709,-74.2973,0,0,0.0,0.0,0,0,0
88,2020-01-22,Comoros,-11.6455,43.3333,0,0,0.0,0.0,0,0,0
89,2020-01-22,Congo (Brazzaville),-4.0383,21.7587,0,0,0.0,0.0,0,0,0
90,2020-01-22,Congo (Kinshasa),-4.0383,21.7587,0,0,0.0,0.0,0,0,0
91,2020-01-22,Costa Rica,9.7489,-83.7534,0,0,0.0,0.0,0,0,0
92,2020-01-22,Cote d'Ivoire,7.54,-5.5471,0,0,0.0,0.0,0,0,0
93,2020-01-22,Croatia,45.1,15.2,0,0,0.0,0.0,0,0,0
94,2020-01-22,Cuba,22.0,-80.0,0,0,0.0,0.0,0,0,0
95,2020-01-22,Cyprus,35.1264,33.4299,0,0,0.0,0.0,0,0,0
96,2020-01-22,Czechia,49.8175,15.473,0,0,0.0,0.0,0,0,0
97,2020-01-22,Denmark,56.2639,9.5018,0,0,0.0,0.0,0,0,0
98,2020-01-22,Denmark,61.8926,-6.9118,0,0,0.0,0.0,0,0,0
99,2020-01-22,Denmark,71.7069,-42.6043,0,0,0.0,0.0,0,0,0
100,2020-01-22,Djibouti,11.8251,42.5903,0,0,0.0,0.0,0,0,0
101,2020-01-22,Dominica,15.415,-61.371,0,0,0.0,0.0,0,0,0
102,2020-01-22,Dominican Republic,18.7357,-70.1627,0,0,0.0,0.0,0,0,0
103,2020-01-22,Ecuador,-1.8312,-78.1834,0,0,0.0,0.0,0,0,0
104,2020-01-22,Egypt,26.0,30.0,0,0,0.0,0.0,0,0,0
105,2020-01-22,El Salvador,13.7942,-88.8965,0,0,0.0,0.0,0,0,0
106,2020-01-22,Equatorial Guinea,1.5,10.0,0,0,0.0,0.0,0,0,0
107,2020-01-22,Eritrea,15.1794,39.7823,0,0,0.0,0.0,0,0,0
108,2020-01-22,Estonia,58.5953,25.0136,0,0,0.0,0.0,0,0,0
109,2020-01-22,Eswatini,-26.5225,31.4659,0,0,0.0,0.0,0,0,0
110,2020-01-22,Ethiopia,9.145,40.4897,0,0,0.0,0.0,0,0,0
111,2020-01-22,Fiji,-17.7134,178.065,0,0,0.0,0.0,0,0,0
112,2020-01-22,Finland,64.0,26.0,0,0,0.0,0.0,0,0,0
113,2020-01-22,France,-21.1351,55.2471,0,0,0.0,0.0,0,0,0
114,2020-01-22,France,-20.9043,165.618,0,0,0.0,0.0,0,0,0
115,2020-01-22,France,-17.6797,149.4068,0,0,0.0,0.0,0,0,0
116,2020-01-22,France,-12.8275,45.1662,0,0,0.0,0.0,0,0,0
117,2020-01-22,France,3.9339,-53.1258,0,0,0.0,0.0,0,0,0
118,2020-01-22,France,14.6415,-61.0242,0,0,0.0,0.0,0,0,0
119,2020-01-22,France,16.25,-61.5833,0,0,0.0,0.0,0,0,0
120,2020-01-22,France,17.9,-62.8333,0,0,0.0,0.0,0,0,0
121,2020-01-22,France,18.0708,-63.0501,0,0,0.0,0.0,0,0,0
122,2020-01-22,France,46.2276,2.2137,0,0,0.0,0.0,0,0,0
123,2020-01-22,France,46.8852,-56.3159,0,0,0.0,0.0,0,0,0
124,2020-01-22,Gabon,-0.8037,11.6094,0,0,0.0,0.0,0,0,0
125,2020-01-22,Gambia,13.4432,-15.3101,0,0,0.0,0.0,0,0,0
126,2020-01-22,Georgia,42.3154,43.3569,0,0,0.0,0.0,0,0,0
127,2020-01-22,Germany,51.0,9.0,0,0,0.0,0.0,0,0,0
128,2020-01-22,Ghana,7.9465,-1.0232,0,0,0.0,0.0,0,0,0
129,2020-01-22,Greece,39.0742,21.8243,0,0,0.0,0.0,0,0,0
130,2020-01-22,Grenada,12.1165,-61.679,0,0,0.0,0.0,0,0,0
131,2020-01-22,Guatemala,15.7835,-90.2308,0,0,0.0,0.0,0,0,0
132,2020-01-22,Guinea,9.9456,-9.6966,0,0,0.0,0.0,0,0,0
133,2020-01-22,Guinea-Bissau,11.8037,-15.1804,0,0,0.0,0.0,0,0,0
134,2020-01-22,Guyana,5.0,-58.75,0,0,0.0,0.0,0,0,0
135,2020-01-22,Haiti,18.9712,-72.2852,0,0,0.0,0.0,0,0,0
136,2020-01-22,Holy See,41.9029,12.4534,0,0,0.0,0.0,0,0,0
137,2020-01-22,Honduras,15.2,-86.2419,0,0,0.0,0.0,0,0,0
138,2020-01-22,Hungary,47.1625,19.5033,0,0,0.0,0.0,0,0,0
139,2020-01-22,Iceland,64.9631,-19.0208,0,0,0.0,0.0,0,0,0
140,2020-01-22,India,21.0,78.0,0,0,0.0,0.0,0,0,0
141,2020-01-22,Indonesia,-0.7893,113.9213,0,0,0.0,0.0,0,0,0
142,2020-01-22,Iran,32.0,53.0,0,0,0.0,0.0,0,0,0
143,2020-01-22,Iraq,33.0,44.0,0,0,0.0,0.0,0,0,0
